economy_label,vessel_type,avg_vessel_age,median_time_in_port,avg_size_GT,avg_cargo_capacity_DWT,avg_container_capacity_TEU,max_size_GT,max_cargo_capacity_DWT,max_container_capacity_TEU,period
Norway,Dry bulk carriers,15,0.86,18868,31176.0,,109768,209260.0,,2023-S2
Norway,Dry breakbulk carriers,24,0.35,2968,3584.0,,84503,98370.0,,2023-S2
Norway,Roll-on/ roll-off ships,19,,10538,6514.0,,64575,24000.0,,2023-S2
Norway,Container ships,18,0.3,8582,,803.0,25756,,2474.0,2023-S2
Norway,Passenger ships,14,,3800,,,184089,,,2023-S2
Philippines,All_Vessel_Types,17,0.84,6909,10532.0,1808.0,151094,297442.0,7092.0,2023-S2
Philippines,Liquid bulk carriers,12,0.81,5839,9304.0,,65552,114644.0,,2023-S2
Philippines,Liquefied petroleum gas carriers,16,0.7,7036,7965.0,,54696,58811.0,,2023-S2
Philippines,Dry bulk carriers,14,4.78,27301,48087.0,,151094,297442.0,,2023-S2
Philippines,Dry breakbulk carriers,18,0.73,3682,4876.0,,36008,55777.0,,2023-S2
Philippines,Roll-on/ roll-off ships,27,,20117,8595.0,,70826,30401.0,,2023-S2
Philippines,Container ships,15,0.84,19266,,1808.0,73172,,7092.0,2023-S2
Philippines,Passenger ships,18,,3627,,,93502,,,2023-S2
Russian Federation,All_Vessel_Types,26,1.48,11755,18133.0,1325.0,128975,206204.0,4843.0,2023-S2
Russian Federation,Liquid bulk carriers,24,1.12,15215,26243.0,,87146,166467.0,,2023-S2
Russian Federation,Liquefied petroleum gas carriers,20,2.64,14404,17244.0,,26515,38427.0,,2023-S2
Russian Federation,Liquefied natural gas carriers,11,1.13,100135,72662.0,,128975,97000.0,,2023-S2
Russian Federation,Dry bulk carriers,18,2.83,26862,47020.0,,104732,206204.0,,2023-S2
Russian Federation,Dry breakbulk carriers,31,1.71,4478,5999.0,,48292,72562.0,,2023-S2
Russian Federation,Roll-on/ roll-off ships,31,,9631,5372.0,,20729,11942.0,,2023-S2
Russian Federation,Container ships,18,1.6,13841,,1325.0,54519,,4843.0,2023-S2
Russian Federation,Passenger ships,27,,8933,,,38557,,,2023-S2
Singapore,All_Vessel_Types,12,0.72,26358,16887.0,5382.0,237000,321300.0,24116.0,2023-S2
Singapore,Liquid bulk carriers,11,0.63,10178,16866.0,,170611,321300.0,,2023-S2
Singapore,Liquefied petroleum gas carriers,12,1.07,10013,11382.0,,52666,58899.0,,2023-S2
Singapore,Liquefied natural gas carriers,11,1.07,101617,79783.0,,163922,130211.0,,2023-S2
Singapore,Dry bulk carriers,15,1.0,12771,21093.0,,107741,209801.0,,2023-S2
Singapore,Dry breakbulk carriers,17,0.75,7832,10516.0,,38519,55449.0,,2023-S2
Singapore,Roll-on/ roll-off ships,16,,52592,17214.0,,76420,43878.0,,2023-S2
Singapore,Container ships,14,0.86,58224,,5382.0,237000,,24116.0,2023-S2
Singapore,Passenger ships,11,,123954,,,169379,,,2023-S2
Spain,All_Vessel_Types,18,0.85,17561,16489.0,3187.0,237000,307341.0,24116.0,2023-S2
Spain,Liquid bulk carriers,13,0.86,11869,19630.0,,163209,307341.0,,2023-S2
Spain,Liquefied petroleum gas carriers,13,1.04,7361,8257.0,,57494,59138.0,,2023-S2
Spain,Liquefied natural gas carriers,11,1.03,96447,75098.0,,141671,107160.0,,2023-S2
Spain,Dry bulk carriers,16,2.13,24082,41311.0,,107567,208263.0,,2023-S2
Spain,Dry breakbulk carriers,17,1.29,5419,7600.0,,66870,71954.0,,2023-S2
Spain,Roll-on/ roll-off ships,12,,26258,9067.0,,89797,48988.0,,2023-S2
Spain,Container ships,17,0.59,35144,,3187.0,237000,,24116.0,2023-S2
Spain,Passenger ships,19,,15679,,,232000,,,2023-S2
Sweden,All_Vessel_Types,23,0.84,17932,9177.0,1756.0,214286,318000.0,19630.0,2023-S2
Sweden,Liquid bulk carriers,15,0.66,8573,12783.0,,162761,318000.0,,2023-S2
Sweden,Liquefied petroleum gas carriers,13,0.92,8001,8654.0,,54000,62500.0,,2023-S2
Sweden,Dry bulk carriers,18,0.64,8248,13351.0,,44616,82219.0,,2023-S2
Sweden,Dry breakbulk carriers,21,1.13,3836,5473.0,,39433,61250.0,,2023-S2
Sweden,Roll-on/ roll-off ships,18,,32353,12980.0,,76420,38500.0,,2023-S2
Sweden,Container ships,18,0.64,19056,,1756.0,214286,,19630.0,2023-S2
Sweden,Passenger ships,25,,22022,,,145000,,,2023-S2
Turkiye,All_Vessel_Types,24,1.2,6703,17992.0,2824.0,236080,297541.0,19462.0,2023-S2
Turkiye,Liquid bulk carriers,15,1.32,19505,33018.0,,86952,166467.0,,2023-S2
Turkiye,Liquefied petroleum gas carriers,19,1.35,17144,20169.0,,50676,54857.0,,2023-S2
Turkiye,Liquefied natural gas carriers,9,1.3,109109,88098.0,,122142,98954.0,,2023-S2
Turkiye,Dry bulk carriers,17,3.41,24459,42236.0,,150918,297541.0,,2023-S2
Turkiye,Dry breakbulk carriers,28,1.42,4599,6489.0,,43528,62053.0,,2023-S2
Turkiye,Roll-on/ roll-off ships,26,,25417,9920.0,,75528,44574.0,,2023-S2
Turkiye,Container ships,18,0.65,30572,,2824.0,236080,,19462.0,2023-S2
Turkiye,Passenger ships,25,,2053,,,167704,,,2023-S2
United Kingdom,All_Vessel_Types,19,1.12,14354,12518.0,3554.0,237000,320159.0,24116.0,2023-S2
United Kingdom,Liquid bulk carriers,15,1.1,12746,21077.0,,170611,320159.0,,2023-S2
United Kingdom,Liquefied petroleum gas carriers,11,1.07,6722,7185.0,,26614,30212.0,,2023-S2
United Kingdom,Liquefied natural gas carriers,8,1.26,76951,61223.0,,163922,143268.0,,2023-S2
United Kingdom,Dry bulk carriers,16,2.6,23705,40369.0,,93967,182913.0,,2023-S2
United Kingdom,Dry breakbulk carriers,19,1.5,3572,4968.0,,149944,175897.0,,2023-S2
United Kingdom,Roll-on/ roll-off ships,16,,24482,9954.0,,100430,55828.0,,2023-S2
United Kingdom,Container ships,17,0.69,39759,,3554.0,237000,,24116.0,2023-S2
United Kingdom,Passenger ships,20,,13028,,,185206,,,2023-S2
United States of America,All_Vessel_Types,26,1.51,18889,49634.0,5799.0,235600,323183.0,19224.0,2023-S2
United States of America,Liquid bulk carriers,12,1.73,37271,64920.0,,170611,323183.0,,2023-S2
United States of America,Liquefied petroleum gas carriers,9,1.82,31440,35435.0,,60784,63770.0,,2023-S2
United States of America,Liquefied natural gas carriers,6,1.34,106652,85337.0,,149367,107662.0,,2023-S2
United States of America,Dry bulk carriers,21,1.99,28716,51829.0,,108901,209854.0,,2023-S2
United States of America,Dry breakbulk carriers,19,1.76,13012,17200.0,,91784,116173.0,,2023-S2
United States of America,Roll-on/ roll-off ships,15,,59121,21470.0,,100430,55828.0,,2023-S2
United States of America,Container ships,15,1.07,64946,,5799.0,194308,,19224.0,2023-S2
United States of America,Passenger ships,30,,9880,,,235600,,,2023-S2
